f_Hz,Omega_gw,chirality
0.70795,2.613e-20,0.6406
0.79433,2.17e-20,0.5722
0.89125,1.799e-20,0.6228
1.0,1.49e-20,0.5676
1.122,1.233e-20,0.6151
1.2589,1.019e-20,0.5443
1.4125,8.414e-21,0.641
1.5849,6.939e-21,0.5844
1.7783,5.716e-21,0.6128
1.9953,4.703e-21,0.5707
2.2387,3.866e-21,0.6169
2.5119,3.174e-21,0.5647
2.8184,2.603e-21,0.6322
3.1623,2.132e-21,0.611
3.5481,1.745e-21,0.6394
3.9811,1.426e-21,0.627
4.4668,1.164e-21,0.5632
5.0119,9.496e-22,0.5588
5.6234,7.736e-22,0.5641
6.3096,6.295e-22,0.6216
7.0795,5.117e-22,0.5723
7.9433,4.154e-22,0.6303
8.9125,3.369e-22,0.5749
10.0,2.73e-22,0.6435
11.22,2.209e-22,0.6472
12.589,1.786e-22,0.6278
14.125,1.442e-22,0.585
15.849,1.163e-22,0.6461
17.783,9.368e-23,0.5627
19.953,7.539e-23,0.6473
22.387,6.06e-23,0.5479
25.119,4.866e-23,0.6046
28.184,3.903e-23,0.5565
31.623,3.127e-23,0.6023
35.481,2.503e-23,0.5497
39.811,2.001e-23,0.5736
44.668,1.597e-23,0.562
50.119,1.274e-23,0.6419
56.234,1.015e-23,0.567
63.096,8.08e-24,0.6407
70.795,6.423e-24,0.5517
79.433,5.101e-24,0.5548
89.125,4.046e-24,0.6482
